RefSeq ID,Gene symbol,hsa-miR-16-5p,hsa-miR-106b-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-215-5p,hsa-let-7c-5p,hsa-miR-103a-3p
NM_015686,FAM155B,-0.207,0.091,-0.024,0.061,0.119,-0.039,0.306
NM_015690,STK36,0.037,-0.172,-0.098,0.32,0.229,-0.015,0.052
NM_015691,WWC3,0.245,0.026,0.248,-0.637,-0.412,0.231,0.139
NM_015693,INTU,0.275,-0.061,-0.305,0.485,0.262,0.18,0.03
NM_015694,ZNF777,-0.003,0.116,0.22,0.082,-0.215,0.105,0.037
NM_015695,BRPF3,-0.174,0.128,0.094,0.299,0.095,-0.024,-0.218
NM_015696,GPX7,-0.169,-0.1,0.106,-0.13,0.116,0.088,0.118
NM_015697,COQ2,0.104,-0.297,-0.108,0.033,-0.131,-0.006,-0.07
NM_015698,GPKOW,0.076,-0.034,-0.172,-0.111,0.218,0.063,-0.145
NM_015700,NFU1,0.163,-0.117,0.089,0.031,0.004,-0.001,-0.232
NM_015702,MMADHC,0.006,0.045,-0.022,0.269,0.269,-0.024,-0.215
NM_015703,RRP7A,-0.141,-0.014,0.046,-0.093,-0.03,-0.002,0.059
NM_015705,SGSM3,-0.087,-0.077,0.174,-0.048,0.068,0.06,0.048
NM_015710,GLTSCR2,-0.011,0.076,-0.079,-0.094,0.41,0.016,-0.015
NM_015711,GLTSCR1,-0.028,0.088,0.082,0.161,0.198,0.024,0.017
NM_015713,RRM2B,0.739,0.054,-0.231,0.402,0.067,0.342,-1.068
NM_015720,PODXL2,-0.098,-0.025,0.115,-0.157,0.046,0.043,0.01
NM_015721,GEMIN4,-0.051,-0.002,0.014,-0.118,-0.189,-0.018,0.045
NM_015722,CALY,-0.167,-0.022,0.045,-0.122,0.088,0.08,0.092
NM_015725,RDH8,-0.121,N/A,0.002,-0.095,0.098,-0.047,0.097
NM_015726,WDR42A,-0.256,-0.351,0.181,0.089,0.089,-0.18,0.088
NM_015847,MBD1,-0.12,0.09,0.038,0.193,0.167,0.221,-0.209
NM_015853,UBXN1,0.076,-0.021,-0.044,-0.051,0.064,-0.028,0.027
NM_015871,ZNF593,-0.215,0.179,0.066,-0.091,0.307,0.013,0.151
NM_015872,ZBTB7B,-0.4,-0.067,0.256,-0.042,0.208,-0.18,N/A
NM_015878,AZIN1,0.248,0.102,0.031,0.125,0.074,-0.06,-0.402
NM_015885,PCF11,0.294,0.092,-0.235,0.052,0.037,-0.011,-0.053
NM_015891,CDC40,-0.005,-0.015,-0.206,0.079,-0.402,0.103,0.022
NM_015892,GALNAC4S-6ST,0.317,-0.234,-0.026,0.181,0.008,0.033,-0.077
NM_015893,PRLH,-0.03,0.024,0.01,-0.08,0.167,-0.04,-0.093
NM_015894,STMN3,N/A,N/A,0.388,-0.211,-0.538,0.143,0.666
NM_015895,GMNN,-0.168,0.036,0.232,0.2,-0.048,-0.414,0.034
NM_015898,ZBTB7A,1.052,0.195,0.007,-0.172,-0.093,-0.194,-0.215
NM_015902,UBR5,0.21,-0.124,-0.055,0.125,0.068,0.007,-0.084
NM_015904,EIF5B,-0.293,0.181,0.102,-0.284,0.131,0.007,0.15
NM_015905,TRIM24,0.183,0.059,-0.053,0.114,-0.243,0.194,-0.105
NM_015907,LAP3,0.22,0.081,0.016,-0.081,-0.195,0.12,-0.025
NM_015909,NBAS,0.089,-0.001,0.006,0.037,0.074,0.107,0.068
NM_015913,TXNDC12,0.07,0.119,-0.124,0.187,-0.046,0.121,0.119
NM_015914,TXNDC11,-0.008,-0.008,0.167,0.162,-0.147,-0.174,0.143
NM_015916,CALHM2,-0.006,-0.348,-0.017,-0.131,0.023,-0.324,0.14
NM_015920,RPS27L,0.29,0.122,-0.513,0.094,0.788,0.244,-0.104
NM_015921,CUTA,0.169,-0.006,0.088,-0.089,-0.244,-0.15,0.053
NM_015926,TEX264,0.079,0.036,0.575,0.231,-0.309,0.186,0.105
NM_015927,TGFB1I1,-0.146,-0.012,0.004,-0.118,0.038,-0.02,0.075
NM_015929,LIPT1,0.054,0.012,0.085,0.069,0.36,0,-0.127
NM_015932,POMP,-0.235,-0.02,-0.016,0.113,0.055,0.082,N/A
NM_015934,NOP58,-0.177,0.049,-0.003,0.021,0.059,0.13,0.132
NM_015935,METTL13,0.052,0.198,0.031,0.022,0.228,0.062,0.036
NM_015937,PIGT,-0.047,-0.066,0.037,0.044,0.336,0.079,-0.072
NM_015938,NMD3,-0.608,-0.067,-0.027,-0.047,-0.015,0.06,-0.535
NM_015939,TRMT6,0.113,-0.203,0.143,0.015,-0.021,-0.03,-0.115
NM_015942,MTERFD1,0.034,-0.086,0.018,0.024,-0.339,0.009,0.074
NM_015944,AMDHD2,-0.052,-0.179,0.089,-0.124,-0.081,-0.043,0.031
NM_015945,SLC35C2,0.057,-0.07,-0.039,0.07,0.161,-0.049,-0.034
NM_015946,PELO,-0.037,-0.015,0.156,-0.022,0.132,0.057,0.012
NM_015947,ASCC1,0.061,-0.019,-0.033,-0.026,0.093,0.015,-0.018
NM_015949,C7ORF20,-0.168,N/A,0.049,-0.096,0.059,N/A,N/A
NM_015953,NOSIP,-0.088,0.077,-0.014,-0.155,0.141,-0.125,0.011
NM_015954,DERA,0.054,-0.28,-0.04,0.263,-0.254,-0.09,0.185
NM_015957,APIP,0.134,0.105,-0.265,-0.297,-0.222,-0.015,0.056
NM_015960,CUTC,0.286,0.083,0.058,-0.54,-0.212,-0.016,-0.198
NM_015964,TPPP3,-0.202,N/A,N/A,N/A,0.099,0.083,-0.08
NM_015965,NDUFA13,0.06,0.071,-0.016,-0.075,0.072,0.016,0.03
NM_015969,MRPS17,0.022,0.061,-0.015,0.14,0.17,0.089,-0.008
NM_015971,MRPS7,-0.025,0.103,0.172,-0.074,0.209,-0.256,-0.03
NM_015972,POLR1D,0.121,0.211,-0.045,0.067,0.341,-0.076,-0.128
NM_015973,GAL,0.076,-0.005,-0.05,-0.089,-0.444,0.195,0.199
NM_015974,CRYL1,0.092,-0.04,0.243,-0.093,0.097,-0.037,0.037
NM_015976,SNX7,0.165,-0.024,0.11,0.17,-0.322,0.099,0.016
NM_015983,UBE2D4,-0.014,0.056,0.161,0.126,-0.252,0.233,0.174
NM_015984,UCHL5,-0.19,-0.039,-0.019,-0.024,0.062,-0.062,0.143
NM_015985,ANGPT4,N/A,N/A,-0.007,N/A,0.155,-0.051,0.077
NM_015986,CRLF3,0.102,0.094,-0.853,-0.917,-0.728,0.035,0.003
NM_015987,HEBP1,0.15,0.05,0.327,-0.007,-0.325,0.177,0.084
NM_015989,CSAD,0.145,-0.176,N/A,N/A,0.107,0.006,-0.071
NM_015994,ATP6V1D,0.153,-0.235,-0.096,0.083,0.064,-0.159,-0.165
NM_016001,UTP18,N/A,N/A,-0.075,0.069,0.099,0.127,0.072
NM_016004,IFT52,0.065,0.047,-0.03,0.182,-0.062,-0.061,0.096
NM_016006,ABHD5,-0.246,-0.186,0.004,0.307,-0.228,0.321,0.072
NM_016008,DYNC2LI1,0.03,0.018,0.129,0.22,-0.087,-0.079,0.362
NM_016009,SH3GLB1,-0.044,-0.202,-0.303,0.166,0.08,0.019,0.012
NM_016010,FAM164A,N/A,-0.069,-0.058,0.322,N/A,N/A,-0.058
NM_016013,NDUFAF1,0.081,0.08,0.121,-0.002,-0.053,0.02,0.065
NM_016016,SLC25A39,-0.286,-0.012,0.061,-0.114,0.154,-0.213,0.033
NM_016019,LUC7L2,0.117,0.076,0.11,0.051,-0.028,0.032,-0.123
NM_016020,TFB1M,0.057,0.226,0.004,-0.113,0.137,-0.045,0.071
NM_016021,UBE2J1,0.118,0.002,0.011,0.016,-0.026,-0.055,0.239
NM_016022,APH1A,N/A,-0.169,0.302,-0.243,-0.319,0.001,-0.276
NM_016024,RBMX2,0.006,N/A,-0.034,0.055,0.016,0.121,0.03
NM_016025,METTL9,0.166,0.091,0.093,0.072,-0.496,0.169,0.016
NM_016026,RDH11,0.022,0.002,-0.157,0.073,-0.165,-0.079,0.051
NM_016027,LACTB2,0.091,0.043,0.168,0.216,-0.214,-0.155,0.001
NM_016028,SUV420H1,0.038,0.193,-0.13,0.08,0.079,0.019,0.088
NM_016029,DHRS7,0.093,-0.146,0.106,0.178,0.254,-0.187,0.162
NM_016030,TTC15,0.018,0.033,0.076,-0.268,0.27,-0.168,-0.065
NM_016033,FAM82B,-0.222,-0.127,-0.056,0.202,-0.01,0.046,0.131
NM_016034,MRPS2,-0.545,0.031,0.092,-0.121,0.048,-0.093,-0.039
NM_016035,COQ4,0.086,-0.084,0.059,-0.048,0.289,0.066,-0.124
NM_016037,UTP11L,0.179,-0.124,-0.166,-0.019,0.062,0.083,-0.087
NM_016038,SBDS,-0.102,0.174,0.003,0.216,-0.105,0.128,-0.494
NM_016039,C14ORF166,0.098,0.128,0.039,0.056,0.198,0.083,-0.218
NM_016040,TMED5,-0.006,-0.027,-0.239,0.419,-0.522,-0.569,0.365
NM_016041,DERL2,-0.084,-0.288,-0.173,0.183,-0.146,0.098,0.227
NM_016044,FAHD2A,0.079,0.033,0.05,-0.056,-0.371,0.289,-0.037
NM_016045,SLMO2,0.118,0.205,0.198,-0.107,-0.135,-0.013,0.297
NM_016047,SF3B14,0.118,0.01,0.016,0.134,0.221,-0.066,0.035
NM_016048,ISOC1,-0.398,-0.073,0.061,-0.204,-0.058,0.011,0.02
NM_016049,FAM158A,-0.005,0.045,-0.203,-0.322,-0.045,-0.177,-0.09
NM_016052,RRP15,0.065,-0.01,-0.329,0.087,0.033,0.101,0.163
NM_016055,MRPL48,-0.05,0.185,-0.165,0.024,0.288,0.067,-0.054
NM_016057,COPZ1,-0.042,0.035,0.12,0.011,0.168,-0.364,0.195
NM_016058,TPRKB,-0.145,0.206,-0.087,0.07,-0.032,0.084,0.076
NM_016059,PPIL1,-0.458,0.06,-0.244,0.187,-0.06,0.127,-0.091
NM_016062,FAM96B,0.107,0.015,0.006,0.021,-0.159,0.113,0.049
NM_016065,MRPS16,-0.086,0.004,-0.07,0.022,-0.15,0.064,-0.086
NM_016068,FIS1,-0.022,0.007,0.083,-0.115,0.068,0.108,0.065
NM_016069,MAGMAS,-0.127,0.081,0.076,0.048,0.168,0.019,0.057
NM_016070,MRPS23,0.022,-0.074,0.064,-0.1,-0.001,-0.09,0.052
NM_016072,GOLT1B,0.495,-0.069,0.283,-0.042,-0.699,-0.201,-0.794
NM_016074,BOLA1,0.029,-0.073,-0.016,0.054,-0.289,0.121,0.074
NM_016075,VPS36,-0.153,0.069,0.025,0.232,0.068,0.045,-0.083
NM_016077,PTRH2,-0.048,0.029,0.018,0.051,0.203,0.166,0.056
NM_016078,FAM18B,0.174,-0.405,0.028,0.333,0.143,0.133,-0.918
NM_016080,GLOD4,-0.005,0.03,0.109,0.052,0.051,-0.064,0.096
NM_016081,PALLD,0.033,-0.091,0.007,-0.116,0.178,-0.026,0.012
NM_016082,CDK5RAP1,-0.156,-0.01,0.025,0.078,-0.127,0.06,-0.02
NM_016086,STYXL1,-0.03,-0.044,0.216,0.169,0.068,-0.046,0.11
NM_016087,WNT16,0.222,0.042,-0.25,-1.058,-0.267,0.232,-0.294
NM_016090,RBM7,-0.005,-0.182,-0.224,0.279,0.075,0.039,0.074
NM_016091,EIF3L,-0.074,0.103,-0.106,0.037,0.358,0.011,0.043
NM_016093,RPL26L1,0.143,0.025,-0.043,0.052,-0.218,0.142,0.095
NM_016095,GINS2,-0.307,0.004,0.162,0.125,-0.218,-0.207,0.093
NM_016097,IER3IP1,0.18,-0.02,-0.509,-0.734,-0.412,0.092,-0.051
NM_016098,BRP44L,-0.049,0.289,0.316,-0.219,-0.015,-0.013,0.072
NM_016101,NIP7,0.254,0.131,-0.225,-0.455,0.038,0.092,-0.043
NM_016103,SAR1B,-0.139,-0.367,-0.159,0.174,-0.024,0.118,0.153
NM_016108,AIG1,0.209,-0.005,-0.101,0.027,-0.029,0.222,0.101
NM_016111,TELO2,-0.298,-0.07,0.08,-0.192,0.045,0.173,-0.14
NM_016113,TRPV2,-0.072,0.044,0.107,-0.111,0.236,0.073,-0.055
NM_016115,ASB3,-0.057,0.031,-0.065,0.094,0.033,0.059,0.072
NM_016116,ASB4,-0.061,-0.075,-0.014,0.058,0.079,-0.077,N/A
NM_016118,NUB1,0.049,0.011,-0.162,0.116,0.133,0.187,-0.029
NM_016121,KCTD3,0.122,0.034,-0.306,0.182,-0.173,-0.183,-0.033
NM_016125,RNFT1,0.305,-0.129,-0.326,0.383,-0.255,-0.354,-0.169
NM_016126,HSPB11,-0.108,0.112,-0.068,0.132,-0.051,-0.005,0.118
NM_016127,TMEM66,0.127,0.003,-0.116,0.11,-0.883,-0.34,0.153
NM_016128,COPG,0.007,-0.101,0.066,0.006,-0.188,-0.057,0.23
NM_016129,COPS4,0.131,0.176,-0.177,0.246,0.152,0.007,-0.069
NM_016131,RAB10,0.001,-0.089,-0.331,0.028,0.13,-0.21,0.133
NM_016135,ETV7,0.373,-0.099,-0.141,N/A,0.193,0.187,N/A
NM_016138,COQ7,-0.084,0.009,-0.055,0.058,0.037,-0.191,0.118
NM_016139,CHCHD2,0.122,N/A,0.056,0.327,0.038,0.041,N/A
NM_016141,DYNC1LI1,-0.076,-0.129,0.059,0.146,-0.05,-0.264,0.176
NM_016142,HSD17B12,0.193,0.203,-0.044,0.005,0.084,0.087,0.023
NM_016143,NSFL1C,0.089,-0.083,0.01,-0.145,-0.064,0.059,-0.013
NM_016144,COMMD10,-0.203,-0.214,-0.473,0.185,0.148,-0.047,0.345
NM_016145,C19ORF56,-0.155,-0.013,-0.125,0.023,0.145,0.083,-0.059
NM_016146,TRAPPC4,-0.026,-0.082,-0.135,0.035,0.07,0.048,-0.019
NM_016147,PPME1,-0.09,0.018,-0.005,-0.027,0.096,0.057,-0.302
NM_016151,TAOK2,-0.028,0.013,0.021,-0.042,0.186,-0.071,0.011
NM_016154,RAB4B,0.005,0.062,0.018,-0.063,0.068,0.032,-0.169
NM_016155,MMP17,-0.081,-0.029,0.111,-0.154,0.078,-0.034,0.03
NM_016161,A4GNT,-0.461,0.08,0.011,-0.037,0.167,0.05,-0.13
NM_016166,PIAS1,-0.049,0.009,-0.001,0.091,-0.057,-0.044,0.037
NM_016167,NOL7,0.01,0.074,-0.07,-0.097,0.019,0.012,0.005
NM_016170,TLX2,-0.02,-0.103,N/A,N/A,0.185,0.028,N/A
NM_016172,UBAC1,-0.527,-0.114,0.123,-0.075,0.055,-0.101,-0.34
NM_016173,HEMK1,-0.053,0.019,0.032,-0.042,0.134,0.009,0.003
NM_016174,CERCAM,0.205,-0.504,0.143,0.009,0.08,-0.523,-0.047
NM_016183,MRTO4,-0.114,0.118,0.048,-0.088,0.102,-0.009,0.037
NM_016185,HN1,0.046,-0.647,-0.168,-0.02,0.076,-0.094,N/A
NM_016190,CRNN,-0.093,-0.015,N/A,N/A,0.051,0.075,N/A
NM_016196,RBM19,0.08,-0.037,-0.02,0.204,0.19,-0.237,0.166
NM_016199,LSM7,-0.111,0.067,-0.022,-0.102,0.141,0.134,0.167
NM_016200,LSM8,-0.045,0.047,-0.137,0.316,-0.034,0.067,-0.011
NM_016201,AMOTL2,0.054,0.005,0.321,-0.017,0.348,-0.347,-0.366
NM_016205,PDGFC,0.29,0.134,-0.101,0.171,-0.065,0.036,-0.045
NM_016207,CPSF3,-0.023,0.013,-0.181,0.15,0.042,0.102,0.108
NM_016209,TRAPPC2L,-0.015,0.038,0.002,-0.013,0.139,-0.053,0.132
NM_016210,C3ORF18,0.07,-0.129,-0.106,-0.123,-0.117,0.077,0.087
NM_016213,TRIP4,0.195,0.055,-0.128,-0.084,-0.088,-0.01,-0.025
NM_016216,DBR1,0.151,0.089,0.029,-0.148,-0.218,0.193,-0.099
NM_016217,HECA,0.339,-0.282,-0.229,0.501,-0.269,0.049,-0.32
NM_016218,POLK,0.256,-0.027,0.026,-0.046,-0.367,0.027,-0.056
NM_016219,MAN1B1,0.206,-0.122,0.099,-0.093,-0.197,0.175,-0.011
NM_016222,DDX41,-0.115,0.061,0.035,-0.117,0.163,0.14,-0.076
NM_016223,PACSIN3,-0.273,-0.002,0.109,-0.088,0.087,0.08,0.051
NM_016226,VPS29,0.033,-0.012,0.118,0.045,0.08,-0.028,0.067
NM_016227,C1ORF9,-0.234,-0.222,0.188,0.106,0.034,-0.001,-0.011
NM_016229,CYB5R2,0.236,-0.077,0.084,-0.102,-0.238,-0.046,-0.113
NM_016230,CYB5R4,0.103,-0.282,-0.043,0.344,-0.018,-0.162,0.085
NM_016238,ANAPC7,-0.04,0.008,N/A,N/A,N/A,-0.019,-0.338
NM_016240,SCARA3,-0.022,0.135,0.347,-0.356,0,-0.299,-0.344
NM_016243,CYB5R1,0.083,0.064,0.107,-0.035,-0.031,0.046,-0.058
NM_016245,HSD17B11,0.06,-0.015,-0.464,0.178,-0.141,-0.704,0.204
NM_016246,HSD17B14,-0.114,-0.322,-0.062,-0.371,0.025,0.073,0.176
NM_016248,AKAP11,0.333,-0.365,-0.38,0.231,-0.174,-0.221,0.191
NM_016252,BIRC6,-0.006,-0.063,0.082,0.018,0.056,-0.034,-0.012
NM_016255,FAM8A1,0.31,-0.205,-0.103,-1.028,-0.233,0.126,0.042
NM_016256,NAGPA,0.007,0.009,0.209,0.008,-0.07,0.084,-0.034
NM_016257,HPCAL4,0.216,0.078,-0.198,0.142,-0.204,0.003,-0.094
NM_016258,YTHDF2,0.011,0.079,-0.084,0.182,-0.215,0.007,0.186
NM_016261,TUBD1,-0.002,0.141,0.089,0.159,-0.011,0.016,-0.053
NM_016262,TUBE1,-0.155,0.013,0.05,0.552,0.129,0.278,0.293
NM_016265,ZNF12,0.008,-0.064,-0.082,0.084,0.281,-0.16,0.149
NM_016270,KLF2,0.239,-0.668,0.157,0.13,-0.235,-0.231,0.123
NM_016272,TOB2,0.087,0.172,0.206,0.117,0.134,-0.212,0.253
NM_016274,PLEKHO1,-0.192,0.176,-0.038,0.194,-0.111,-0.264,0.053
NM_016284,CNOT1,-0.038,0.029,0.007,0.073,0.231,-0.046,-0.03
NM_016286,DCXR,0.145,0.177,-0.058,-0.191,0.105,0.034,-0.231
NM_016287,HP1BP3,-0.165,-0.255,0.049,0.106,-0.308,0.238,0.089
NM_016290,UIMC1,0.065,-0.055,-0.064,-0.015,0.037,0.051,-0.076
NM_016292,TRAP1,-0.209,0.044,0.104,-0.18,0.177,0.053,0.065
NM_016297,PCYOX1,-0.152,-0.029,0.082,-0.049,-0.192,0.034,0.059
NM_016299,HSPA14,-0.107,0.026,-0.298,0.12,-0.048,0.024,0.237
NM_016301,GPN3,-0.181,0.072,-0.213,-0.003,0.239,0.052,-0.334
NM_016302,CRBN,0.055,0.206,-0.072,0.082,0.66,-0.199,-0.133
NM_016304,RSL24D1,-0.035,0.188,-0.339,-0.143,-0.179,0.198,0.166
NM_016305,SS18L2,0.005,0.185,-0.02,0.071,0.194,0.075,0.021
NM_016306,DNAJB11,-0.143,0.095,0.14,-0.071,-0.049,-0.077,-0.093
NM_016307,PRRX2,0.017,0.007,-0.019,-0.241,-0.02,0.077,0.14
NM_016310,POLR3K,0.057,0.318,0.083,-0.578,-0.133,-0.039,-0.223
NM_016312,WBP11,-0.328,0.094,0.112,0.208,0.057,-0.268,-0.152
NM_016315,GULP1,0.313,-0.013,-0.087,0.16,-0.429,-0.131,0.147
NM_016319,COPS7A,-0.27,0.127,-0.236,0.019,-0.856,-0.01,-0.072
NM_016321,RHCG,-0.063,-0.095,0.073,-0.021,-0.004,-0.046,N/A
NM_016327,UPB1,0.178,-0.155,0.001,-0.007,-0.027,0.009,0.03
NM_016328,GTF2IRD1,0.063,-0.113,0.157,0.112,-0.108,-0.298,0.022
NM_016331,ZNF639,N/A,N/A,0.009,0.052,0.062,-0.006,N/A
NM_016333,SRRM2,-0.071,-0.145,0.018,-0.025,0.204,-0.078,0.024
NM_016335,PRODH,N/A,N/A,0.027,-0.074,0.142,N/A,-0.004
NM_016337,EVL,-0.06,0.076,0.037,-0.07,-0.057,0.025,0.063
NM_016340,RAPGEF6,-0.007,0.034,0.087,0.182,-0.046,-0.226,-0.047
NM_016343,CENPF,0.042,-0.027,-0.409,0.065,-0.266,0.157,-0.074
NM_016352,CPA4,0.394,-0.408,0.595,0.351,-0.232,-0.838,-0.095
NM_016353,ZDHHC2,0.063,0.171,0.049,0.074,-0.506,-0.118,0.161
NM_016354,SLCO4A1,-0.186,-0.079,-0.083,0.02,0.086,0.114,0.195
NM_016358,IRX4,0.04,-0.285,0.12,0.22,-0.445,0.261,0.042
NM_016360,CCDC44,-0.165,0.035,0.059,-0.038,-0.018,0.064,-0.192
NM_016361,ACP6,0.226,-0.137,0.153,0.105,0.064,0.053,0.003
NM_016368,ISYNA1,0.033,0.078,-0.145,-0.234,0.16,-0.057,0.024
NM_016371,HSD17B7,-0.025,-0.228,0.034,0.146,0.075,0.05,0.205
NM_016374,ARID4B,0.151,-0.255,-0.195,-0.052,0.004,-0.124,0.02
NM_016376,ANKFY1,-0.246,-0.341,-0.502,0.213,0.344,-0.126,-0.767
NM_016391,NOP16,0.117,0.092,-0.046,0.292,0.212,0.082,0.003
NM_016396,CTDSPL2,0.064,0.102,0.052,-0.363,-0.18,-0.081,-0.028
NM_016399,TRIAP1,-0.055,N/A,-0.415,0.566,0.831,0.378,-1.373
NM_016401,C11ORF73,-0.063,0.068,0.066,0.14,-0.219,-0.042,0.178
NM_016404,HSPC152,-0.181,0.051,-1.149,-0.079,0.206,0.003,0.053
NM_016406,UFC1,-0.185,-0.054,0.037,-0.123,0.121,0.1,0.039
NM_016407,C20ORF43,-0.18,-0.021,0.054,-0.037,0.035,0.097,0.08
NM_016410,CHMP5,0.086,0.015,-0.522,-0.593,0.167,-0.026,0.031
NM_016417,GLRX5,0.415,0.162,0.089,-0.768,0.002,-0.073,-0.706
NM_016422,RNF141,0.262,0.11,0.25,0.44,-0.429,0.082,0.081
NM_016424,CROP,-0.026,0.022,-0.119,0.143,0.185,-0.107,0.023
NM_016433,GLTP,-0.084,-0.118,0.358,0.014,0.027,0.081,-0.04
NM_016434,RTEL1,0.256,-0.187,0.254,-0.454,-0.344,0.505,-0.24
NM_016437,TUBG2,0.091,-0.177,0.035,0.15,0.265,0.048,-0.093
NM_016441,CRIM1,0.041,-0.089,-0.161,-0.12,0.222,-0.057,-0.613
NM_016445,PLEK2,0.034,-0.119,0.09,0.023,-0.223,0.203,-0.24
NM_016446,C9ORF127,0.225,-0.184,0.31,0.094,-0.154,0.051,N/A
NM_016447,MPP6,-0.194,0.183,0.047,0.217,0.117,0.163,0.261
NM_016448,DTL,-0.414,0.164,-0.125,0.245,-0.38,-0.278,0.119
NM_016453,NCKIPSD,-0.695,-0.001,0.307,0.09,-0.11,0.22,-0.178
NM_016454,TMEM85,-0.062,-0.221,0.11,0.034,0.316,-0.132,-0.116
NM_016456,TMEM9,0.211,0.129,0.038,-0.1,-0.152,0.09,-0.079
NM_016462,TMEM14C,0.13,0.154,0.22,0.084,0.073,0.005,-0.117
NM_016463,CXXC5,0.008,0.041,0.147,-0.078,-0.167,-0.249,0.058
NM_016464,TMEM138,-0.031,-0.122,-0.063,-0.027,0.101,-0.016,-0.112
NM_016466,ANKRD39,-0.05,-0.106,-0.146,-0.035,0.017,-0.15,-0.127
NM_016468,COX16,-0.002,0.023,-0.019,0.242,-0.287,0.117,0.225
NM_016470,C20ORF111,0.029,0.096,0.031,0.026,0.29,-0.021,-0.133
NM_016472,C14ORF129,-0.005,0.075,N/A,N/A,N/A,0.16,-0.119
NM_016474,C3ORF19,-0.031,-0.077,0.161,0.095,-0.082,0.054,0.011
NM_016478,ZC3HC1,-0.052,-0.085,-0.503,-0.052,0.033,0.079,0.039
NM_016479,SHISA5,0.151,0.063,-0.366,0.069,0.591,-0.54,-0.059
NM_016480,PAIP2,0.171,0.066,-0.218,-0.609,0.289,0.001,0.063
NM_016481,C9ORF156,-0.19,0.033,-0.035,0.152,0.256,-0.024,0.086
NM_016483,PHF7,-0.023,-0.009,0.014,0.376,-0.116,0.273,0.072
NM_016484,PDZD11,-0.027,-0.343,0.037,0.018,0.175,-0.011,0.021
NM_016485,VTA1,-0.288,0.075,-0.116,0.116,0.002,-0.018,0.247
NM_016486,TMEM69,N/A,-0.202,-0.151,0.419,-0.012,-0.118,0.241
NM_016489,NT5C3,0.047,0.227,-0.113,-0.093,-0.011,-0.07,0.068
NM_016491,MRPL37,-0.123,0.041,0.019,0.045,-0.167,-0.027,-0.067
NM_016494,RNF181,0.003,-0.047,-0.099,0.001,0.142,-0.05,-0.035
NM_016498,MTP18,-0.083,0.033,-0.07,-0.277,0.14,-0.022,-0.007
NM_016499,TMEM216,-0.13,0.04,-0.426,-0.139,0.146,-0.124,0.137
NM_016500,CXORF26,-0.252,-0.122,-0.202,0.098,0.045,0.247,0.182
NM_016504,MRPL27,-0.181,0.002,-0.035,0.006,0.16,0.12,0.03
NM_016505,ZCCHC17,-0.125,0.184,-0.046,0.066,-0.251,0.219,0.001
NM_016506,KBTBD4,-0.218,-0.122,-0.169,-0.031,-0.02,0.067,-0.304
NM_016510,SCLY,0.122,-0.133,0.12,0.045,0.137,0.003,0.123
NM_016513,ICK,0.509,0.096,-0.115,-0.216,-1.122,-0.05,0.103
NM_016516,VPS54,-0.018,-0.056,0.17,0.21,0.039,-0.606,0.203
NM_016520,C9ORF78,0.056,0.03,0.142,0.173,-0.145,0.249,0.141
NM_016525,UBAP1,-0.007,-0.149,-0.259,0.111,0.275,-0.055,0.071
NM_016526,BET1L,0.074,0.193,N/A,0.161,0.232,0.026,-0.059
NM_016530,RAB8B,0.187,0.066,-0.707,0.019,-0.379,-0.229,0.33
NM_016531,KLF3,-0.104,0.052,-0.08,0.006,0.37,0.035,0.045
NM_016535,ZNF581,-0.058,0.099,0.156,-0.151,0.061,-0.049,0.031
NM_016539,SIRT6,0.13,-0.123,0.016,0.091,0.153,0.148,0.083
NM_016546,C1RL,0.301,0.008,0.174,0.278,0.188,0.088,-0.2
NM_016547,SDF4,0.104,-0.008,-0.041,-0.058,-0.233,0.086,0.095
NM_016551,TM7SF3,0.053,-0.001,-0.266,-0.316,0.167,0.099,-0.032
NM_016556,PSMC3IP,-0.277,0.168,0.28,-0.038,-0.201,0.131,-0.196
NM_016561,BFAR,-0.167,0.083,0.147,-0.102,-0.04,-0.137,-0.077
NM_016565,CHCHD8,0.034,0.081,-0.169,0.03,0.263,-0.118,0.069
NM_016567,BCCIP,-0.024,0.068,-0.136,-0.017,0.166,-0.361,0.11
NM_016570,ERGIC2,0.138,-0.021,0.037,-0.008,-0.092,-0.377,0.116
NM_016573,GMIP,0.201,-0.057,0.058,0.124,0.037,0.015,-0.051
NM_016577,RAB6B,0.308,0.165,0.35,-0.14,-0.561,0.311,0.178
NM_016578,RSF1,0.12,-0.047,-0.074,-0.02,0.067,-0.035,0.048
NM_016579,CD320,-0.125,0.04,-0.012,-0.178,-0.063,0.139,0.017
NM_016587,CBX3,0.023,-0.13,-0.147,0.054,-0.181,-0.039,0.109
NM_016589,C3ORF1,0.359,-0.062,0.144,-0.011,0.07,-0.007,-0.316
NM_016604,JMJD1B,0.071,0.05,0.032,0.01,0.073,-0.052,-0.023
NM_016612,SLC25A37,0.021,-0.133,0.073,-0.107,-0.051,0.183,0.07
NM_016614,TTRAP,0.061,0.099,-0.028,0.054,-0.15,0.01,0.036
NM_016615,SLC6A13,-0.007,-0.095,0.096,-0.069,0.063,-0.031,-0.007
NM_016617,UFM1,-0.129,0.007,0.063,0.032,0.035,0.181,0.404
NM_016618,KRCC1,0.249,-0.373,N/A,N/A,0.694,-0.317,N/A
NM_016621,PHF21A,0.315,-0.045,-0.16,-0.05,0.25,-0.259,0.07
